x_m,y_m,w_tr_right_m,w_tr_left_m
14.99,1.39,0.707,0.707
14.94,1.39,0.716,0.716
14.89,1.39,0.728,0.728
14.84,1.39,0.743,0.743
14.79,1.39,0.728,0.728
14.74,1.34,0.7,0.7
14.69,1.34,0.7,0.7
14.64,1.34,0.7,0.7
14.59,1.34,0.7,0.7
14.54,1.34,0.7,0.7
14.49,1.34,0.7,0.7
14.44,1.34,0.7,0.7
14.39,1.34,0.7,0.7
14.34,1.34,0.7,0.7
14.29,1.34,0.7,0.7
14.24,1.34,0.7,0.7
14.19,1.34,0.7,0.7
14.14,1.34,0.7,0.7
14.09,1.34,0.7,0.7
14.04,1.34,0.7,0.7
13.99,1.34,0.7,0.7
13.94,1.34,0.7,0.7
13.89,1.34,0.7,0.7
13.84,1.34,0.7,0.7
13.79,1.34,0.7,0.7
13.74,1.34,0.7,0.7
13.69,1.29,0.7,0.7
13.64,1.29,0.7,0.7
13.59,1.29,0.702,0.702
13.54,1.29,0.707,0.707
13.49,1.29,0.707,0.707
13.44,1.29,0.702,0.702
13.39,1.29,0.7,0.7
13.34,1.29,0.7,0.7
13.29,1.29,0.702,0.702
13.24,1.29,0.702,0.702
13.19,1.29,0.7,0.7
13.14,1.29,0.7,0.7
13.09,1.29,0.7,0.7
13.04,1.29,0.7,0.7
12.99,1.24,0.702,0.702
12.94,1.24,0.707,0.707
12.89,1.24,0.716,0.716
12.84,1.24,0.728,0.728
12.79,1.24,0.728,0.728
12.74,1.24,0.716,0.716
12.69,1.19,0.738,0.738
12.64,1.19,0.752,0.752
12.59,1.14,0.75,0.75
12.54,1.14,0.776,0.776
12.49,1.09,0.778,0.778
12.44,1.09,0.791,0.791
12.39,1.04,0.814,0.814
12.34,1.04,0.808,0.808
12.29,0.99,0.838,0.838
12.24,0.94,0.849,0.849
12.19,0.89,0.851,0.851
12.14,0.84,0.86,0.86
12.09,0.79,0.875,0.875
12.04,0.74,0.885,0.885
11.99,0.69,0.885,0.885
11.94,0.64,0.885,0.885
11.89,0.59,0.885,0.885
11.84,0.54,0.875,0.875
11.79,0.49,0.86,0.86
11.74,0.44,0.851,0.851
11.69,0.39,0.849,0.849
11.69,0.34,0.86,0.86
11.64,0.29,0.85,0.85
11.59,0.24,0.828,0.828
11.54,0.19,0.806,0.806
11.54,0.14,0.806,0.806
11.49,0.09,0.791,0.791
11.44,0.04,0.781,0.781
11.39,-0.01,0.778,0.778
11.34,-0.06,0.778,0.778
11.29,-0.11,0.778,0.778
11.24,-0.16,0.778,0.778
11.19,-0.21,0.778,0.778
11.14,-0.26,0.778,0.778
11.09,-0.31,0.778,0.778
11.04,-0.31,0.781,0.781
10.99,-0.36,0.791,0.791
10.94,-0.41,0.791,0.791
10.89,-0.41,0.783,0.783
10.84,-0.46,0.806,0.806
10.79,-0.51,0.783,0.783
10.74,-0.51,0.806,0.806
10.69,-0.56,0.783,0.783
10.64,-0.56,0.806,0.806
10.59,-0.61,0.783,0.783
10.54,-0.61,0.806,0.806
10.49,-0.61,0.791,0.791
10.44,-0.66,0.806,0.806
10.39,-0.66,0.814,0.814
10.34,-0.71,0.82,0.82
10.29,-0.71,0.838,0.838
10.24,-0.71,0.825,0.825
10.19,-0.76,0.802,0.802
10.14,-0.76,0.8,0.8
10.09,-0.76,0.802,0.802
10.04,-0.76,0.8,0.8
9.99,-0.76,0.8,0.8
9.94,-0.76,0.8,0.8
9.89,-0.81,0.752,0.752
9.84,-0.81,0.757,0.757
9.79,-0.81,0.765,0.765
9.74,-0.81,0.776,0.776
9.69,-0.81,0.791,0.791
9.64,-0.81,0.8,0.8
9.59,-0.81,0.791,0.791
9.54,-0.86,0.75,0.75
9.49,-0.86,0.75,0.75
9.44,-0.86,0.75,0.75
9.39,-0.86,0.75,0.75
9.34,-0.86,0.75,0.75
9.29,-0.86,0.75,0.75
9.24,-0.86,0.75,0.75
9.19,-0.86,0.75,0.75
9.14,-0.86,0.75,0.75
9.09,-0.86,0.75,0.75
9.04,-0.86,0.75,0.75
8.99,-0.86,0.75,0.75
8.94,-0.86,0.75,0.75
8.89,-0.86,0.75,0.75
8.84,-0.86,0.75,0.75
8.79,-0.86,0.75,0.75
8.74,-0.86,0.75,0.75
8.69,-0.86,0.75,0.75
8.64,-0.86,0.75,0.75
8.59,-0.86,0.75,0.75
8.54,-0.86,0.75,0.75
8.49,-0.91,0.75,0.75
8.44,-0.91,0.75,0.75
8.39,-0.91,0.75,0.75
8.34,-0.91,0.75,0.75
8.29,-0.91,0.75,0.75
8.24,-0.91,0.75,0.75
8.19,-0.91,0.75,0.75
8.14,-0.86,0.8,0.8
8.09,-0.86,0.8,0.8
8.04,-0.86,0.8,0.8
7.99,-0.86,0.8,0.8
7.94,-0.86,0.8,0.8
7.89,-0.86,0.8,0.8
7.84,-0.86,0.8,0.8
7.79,-0.86,0.8,0.8
7.74,-0.86,0.8,0.8
7.69,-0.86,0.8,0.8
7.64,-0.86,0.8,0.8
7.59,-0.86,0.8,0.8
7.54,-0.86,0.802,0.802
7.49,-0.86,0.806,0.806
7.44,-0.86,0.814,0.814
7.39,-0.86,0.825,0.825
7.34,-0.86,0.838,0.838
7.29,-0.86,0.85,0.85
7.24,-0.81,0.85,0.85
7.19,-0.81,0.85,0.85
7.14,-0.81,0.85,0.85
7.09,-0.86,0.85,0.85
7.04,-0.86,0.85,0.85
6.99,-0.86,0.85,0.85
6.94,-0.86,0.85,0.85
6.89,-0.86,0.85,0.85
6.84,-0.86,0.85,0.85
6.79,-0.86,0.85,0.85
6.74,-0.86,0.85,0.85
6.69,-0.86,0.85,0.85
6.64,-0.86,0.85,0.85
6.59,-0.86,0.85,0.85
6.54,-0.86,0.85,0.85
6.49,-0.86,0.85,0.85
6.44,-0.86,0.85,0.85
6.39,-0.86,0.85,0.85
6.34,-0.86,0.85,0.85
6.29,-0.86,0.85,0.85
6.24,-0.86,0.85,0.85
6.19,-0.86,0.85,0.85
6.14,-0.86,0.85,0.85
6.09,-0.86,0.85,0.85
6.04,-0.86,0.851,0.851
5.99,-0.81,0.906,0.906
5.94,-0.81,0.912,0.912
5.89,-0.81,0.922,0.922
5.84,-0.81,0.934,0.934
5.79,-0.81,0.949,0.949
5.74,-0.81,0.95,0.95
5.69,-0.81,0.95,0.95
5.64,-0.81,0.95,0.95
5.59,-0.81,0.95,0.95
5.54,-0.81,0.95,0.95
5.49,-0.81,0.95,0.95
5.44,-0.81,0.95,0.95
5.39,-0.81,0.95,0.95
5.34,-0.81,0.95,0.95
5.29,-0.81,0.951,0.951
5.24,-0.81,0.955,0.955
5.19,-0.81,0.962,0.962
5.14,-0.81,0.971,0.971
5.09,-0.81,0.971,0.971
5.04,-0.81,0.962,0.962
4.99,-0.81,0.955,0.955
4.94,-0.81,0.951,0.951
4.89,-0.81,0.95,0.95
4.84,-0.81,0.95,0.95
4.79,-0.81,0.95,0.95
4.74,-0.86,0.95,0.95
4.69,-0.86,0.95,0.95
4.64,-0.86,0.95,0.95
4.59,-0.86,0.95,0.95
4.54,-0.86,0.95,0.95
4.49,-0.86,0.95,0.95
4.44,-0.86,0.95,0.95
4.39,-0.86,0.95,0.95
4.34,-0.86,0.95,0.95
4.29,-0.86,0.95,0.95
4.24,-0.86,0.95,0.95
4.19,-0.86,0.95,0.95
4.14,-0.86,0.95,0.95
4.09,-0.86,0.95,0.95
4.04,-0.86,0.95,0.95
3.99,-0.86,0.95,0.95
3.94,-0.86,0.95,0.95
3.89,-0.86,0.95,0.95
3.84,-0.86,0.95,0.95
3.79,-0.81,1.0,1.0
3.74,-0.81,1.0,1.0
3.69,-0.81,1.0,1.0
3.64,-0.81,1.0,1.0
3.59,-0.81,1.001,1.001
3.54,-0.81,1.0,1.0
3.49,-0.81,1.001,1.001
3.44,-0.81,1.001,1.001
3.39,-0.81,1.0,1.0
3.34,-0.81,1.001,1.001
3.29,-0.81,1.0,1.0
3.24,-0.81,1.0,1.0
3.19,-0.76,1.05,1.05
3.14,-0.81,1.0,1.0
3.09,-0.81,1.0,1.0
3.04,-0.81,1.0,1.0
2.99,-0.81,1.0,1.0
2.94,-0.81,1.0,1.0
2.89,-0.76,1.05,1.05
2.84,-0.76,1.044,1.044
2.79,-0.76,1.031,1.031
2.74,-0.76,1.02,1.02
2.69,-0.76,1.011,1.011
2.64,-0.76,1.005,1.005
2.59,-0.76,1.001,1.001
2.54,-0.76,1.0,1.0
2.49,-0.76,1.0,1.0
2.44,-0.76,1.0,1.0
2.39,-0.76,1.001,1.001
2.34,-0.76,1.0,1.0
2.29,-0.76,1.0,1.0
2.24,-0.76,1.0,1.0
2.19,-0.76,1.0,1.0
2.14,-0.76,1.0,1.0
2.09,-0.76,1.0,1.0
2.04,-0.76,1.0,1.0
1.99,-0.76,1.0,1.0
1.94,-0.81,0.95,0.95
1.89,-0.81,0.951,0.951
1.84,-0.81,0.95,0.95
1.79,-0.81,0.95,0.95
1.74,-0.81,0.95,0.95
1.69,-0.81,0.95,0.95
1.64,-0.81,0.951,0.951
1.59,-0.81,0.955,0.955
1.54,-0.81,0.962,0.962
1.49,-0.81,0.971,0.971
1.44,-0.81,0.982,0.982
1.39,-0.81,0.996,0.996
1.34,-0.81,1.0,1.0
1.29,-0.81,1.0,1.0
1.24,-0.81,1.0,1.0
1.19,-0.81,1.0,1.0
1.14,-0.81,0.996,0.996
1.09,-0.86,0.95,0.95
1.04,-0.86,0.95,0.95
0.99,-0.86,0.95,0.95
0.94,-0.86,0.95,0.95
0.89,-0.86,0.95,0.95
0.84,-0.86,0.95,0.95
0.79,-0.86,0.95,0.95
0.74,-0.86,0.95,0.95
0.69,-0.86,0.95,0.95
0.64,-0.86,0.95,0.95
0.59,-0.86,0.95,0.95
0.54,-0.86,0.95,0.95
0.49,-0.86,0.95,0.95
0.44,-0.86,0.95,0.95
0.39,-0.86,0.95,0.95
0.34,-0.86,0.95,0.95
0.29,-0.86,0.951,0.951
0.24,-0.86,0.955,0.955
0.19,-0.86,0.962,0.962
0.14,-0.86,0.971,0.971
0.09,-0.86,0.982,0.982
0.04,-0.86,0.996,0.996
-0.01,-0.86,1.0,1.0
-0.06,-0.86,1.0,1.0
-0.11,-0.86,1.0,1.0
-0.16,-0.86,1.0,1.0
-0.21,-0.86,1.0,1.0
-0.26,-0.86,1.0,1.0
-0.31,-0.86,1.0,1.0
-0.36,-0.86,1.0,1.0
-0.41,-0.86,1.0,1.0
-0.46,-0.86,1.0,1.0
